,movie_name,movie_year,movie_runtime,imdb_ratings,metascore,number_votes,us_gross_millions
0,Oppenheimer,2023,180,8.6,88,424343,
1,Spider-Man: Across the Spider-Verse,2023,140,8.7,86,254328,
2,Interstellar,2014,169,8.7,74,1984619,188.02
3,The Godfather,1972,175,9.2,100,1947804,134.97
4,The Shawshank Redemption,1994,142,9.3,82,2795985,28.34
5,The Dark Knight,2008,152,9.0,84,2776759,534.86
6,Inception,2010,148,8.8,74,2465211,292.58
7,Pulp Fiction,1994,154,8.9,95,2144736,107.93
8,Gladiator,2000,155,8.5,67,1560859,187.71
9,Oldboy,2003,120,8.4,78,609621,0.71
10,The Prestige,2006,130,8.5,66,1394691,53.09
11,Indiana Jones and the Raiders of the Lost Ark,1981,115,8.4,85,1012066,248.16
12,Fight Club,1999,139,8.8,67,2229927,37.03
13,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1942824,315.54
14,Inglourious Basterds,2009,153,8.3,69,1522536,120.54
15,Goodfellas,1990,145,8.7,92,1213194,46.84
16,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,628024,190.24
17,Joker,2019,122,8.4,59,1398191,335.45
18,Alien,1979,117,8.5,89,918001,78.9
19,Se7en,1995,127,8.6,65,1731022,100.13
20,Forrest Gump,1994,142,8.8,82,2175526,330.25
21,The Departed,2006,151,8.5,85,1378287,132.38
22,Schindler's List,1993,195,9.0,95,1405787,96.9
23,Parasite,2019,132,8.5,96,885722,53.37
24,Django Unchained,2012,165,8.5,81,1632599,162.81
25,The Dark Knight Rises,2012,164,8.4,78,1774140,448.14
26,Avengers: Endgame,2019,181,8.4,78,1212449,858.37
27,Whiplash,2014,106,8.5,89,930135,13.09
28,The Silence of the Lambs,1991,118,8.6,86,1491757,130.74
29,The Matrix,1999,136,8.7,73,1988267,171.48
30,Memento,2000,113,8.4,83,1285703,25.54
31,Aliens,1986,137,8.4,84,742374,85.16
32,Good Will Hunting,1997,126,8.3,70,1021651,138.43
33,L̩on: The Professional,1994,110,8.5,64,1207763,19.5
34,Back to the Future,1985,116,8.5,87,1261781,210.61
35,American Beauty,1999,122,8.3,84,1185104,130.1
36,The Shining,1980,146,8.4,66,1068012,44.02
37,Requiem for a Dream,2000,102,8.3,71,873910,3.64
38,Star Wars: Episode IV - A New Hope,1977,121,8.6,90,1412242,322.74
39,Amadeus,1984,160,8.4,87,416273,51.97
40,2001: A Space Odyssey,1968,149,8.3,84,697227,56.95
41,The Lord of the Rings: The Return of the King,2003,201,9.0,94,1914667,377.85
42,Braveheart,1995,178,8.3,68,1067478,75.6
43,The Green Mile,1999,189,8.6,61,1358985,136.8
44,Terminator 2: Judgment Day,1991,137,8.6,75,1140546,204.84
45,12 Angry Men,1957,96,9.0,97,830819,4.36
46,One Flew Over the Cuckoo's Nest,1975,133,8.7,84,1042525,112.0
47,The Godfather Part II,1974,202,9.0,90,1323005,57.3
48,Apocalypse Now,1979,147,8.4,94,691205,83.47
49,Saving Private Ryan,1998,169,8.6,91,1448157,216.54
